T_months,phi_rad,phi_over_pi,auc_true,auc_nn
3.053855508833415797e+02,2.420014265287000033e+00,7.703144653466548197e-01,8.209701286888256844e-01,7.759677799982673818e-01
3.430469286314919373e+02,2.420014265287000033e+00,7.703144653466548197e-01,8.111890834057731148e-01,7.684744209301560547e-01
3.853528593710527161e+02,2.420014265287000033e+00,7.703144653466548197e-01,7.766380342990969465e-01,7.208939269359334601e-01
4.328761281083056929e+02,2.420014265287000033e+00,7.703144653466548197e-01,7.586291973975461955e-01,7.205218797888641724e-01
4.862601580065353346e+02,2.420014265287000033e+00,7.703144653466548197e-01,7.360925966585115665e-01,6.697013877064532661e-01
5.462277217684342077e+02,2.420014265287000033e+00,7.703144653466548197e-01,7.189175635752073079e-01,7.029441340239752645e-01
6.135907273413170060e+02,2.420014265287000033e+00,7.703144653466548197e-01,6.781976544460076584e-01,6.349260647895065279e-01
6.892612104349694846e+02,2.420014265287000033e+00,7.703144653466548197e-01,6.383024008172996089e-01,6.243197572297848330e-01
7.742636826811269657e+02,2.420014265287000033e+00,7.703144653466548197e-01,6.414392469552905318e-01,5.767862650517832090e-01
8.697490026177833897e+02,2.420014265287000033e+00,7.703144653466548197e-01,6.390909297976765657e-01,6.209921499965647129e-01
9.770099572992246522e+02,2.420014265287000033e+00,7.703144653466548197e-01,5.982044839452624885e-01,5.819607122693504220e-01
1.097498765493056680e+03,2.420014265287000033e+00,7.703144653466548197e-01,5.988380516248905661e-01,5.365945312476663176e-01
1.232846739442065882e+03,2.420014265287000033e+00,7.703144653466548197e-01,5.854898158686346887e-01,5.488261588118090728e-01
1.384886371393871741e+03,2.420014265287000033e+00,7.703144653466548197e-01,5.791906389931921195e-01,5.356287302732396505e-01
1.555676143930472335e+03,2.420014265287000033e+00,7.703144653466548197e-01,5.483234680861868160e-01,5.359766463984754203e-01
1.747528400007682876e+03,2.420014265287000033e+00,7.703144653466548197e-01,5.487198329554517917e-01,4.965191584443827133e-01
1.963040650040272340e+03,2.420014265287000033e+00,7.703144653466548197e-01,5.630642084950158166e-01,5.419244531919787944e-01
2.205130739903045651e+03,2.420014265287000033e+00,7.703144653466548197e-01,5.289451840268132310e-01,5.198252914019255710e-01
2.477076355991709079e+03,2.420014265287000033e+00,7.703144653466548197e-01,5.319171737448508130e-01,5.128677156986626295e-01
2.782559402207125913e+03,2.420014265287000033e+00,7.703144653466548197e-01,5.493430387649697044e-01,5.296501179199488707e-01
3.125715849688235267e+03,2.420014265287000033e+00,7.703144653466548197e-01,5.316013700819390841e-01,5.110545284546288425e-01
3.511191734215127326e+03,2.420014265287000033e+00,7.703144653466548197e-01,5.225188642046116883e-01,4.923528465084044958e-01
3.944206059437656222e+03,2.420014265287000033e+00,7.703144653466548197e-01,5.135258811510301502e-01,5.086325580040685912e-01
4.430621457583877600e+03,2.420014265287000033e+00,7.703144653466548197e-01,5.156662141049883630e-01,5.054597253712349580e-01
4.977023564332113892e+03,2.420014265287000033e+00,7.703144653466548197e-01,5.185083537210128934e-01,5.141236490361780209e-01
5.590810182512223037e+03,2.420014265287000033e+00,7.703144653466548197e-01,5.226581426749232762e-01,5.105279400826261416e-01
6.280291441834246143e+03,2.420014265287000033e+00,7.703144653466548197e-01,5.063608813451985213e-01,4.971363898423053485e-01
7.054802310718645458e+03,2.420014265287000033e+00,7.703144653466548197e-01,5.141336841806541935e-01,5.016275137336787537e-01
7.924828983539169712e+03,2.420014265287000033e+00,7.703144653466548197e-01,5.133169634455626573e-01,5.175550149957730550e-01
8.902150854450392217e+03,2.420014265287000033e+00,7.703144653466548197e-01,4.961951399655276651e-01,4.884203301011766918e-01
1.000000000000000000e+04,2.420014265287000033e+00,7.703144653466548197e-01,5.081368685420344367e-01,4.994942287183991025e-01
1.000000000000000056e-01,2.512798025970000015e+00,7.998484536493646324e-01,7.752311537186231671e-01,6.966225997801416270e-01
1.123324032978027381e-01,2.512798025970000015e+00,7.998484536493646324e-01,7.627782395500073420e-01,6.801051253730273638e-01
1.261856883066020396e-01,2.512798025970000015e+00,7.998484536493646324e-01,7.746530360466122866e-01,6.847276396444029745e-01
1.417474162926805059e-01,2.512798025970000015e+00,7.998484536493646324e-01,7.621426181663932820e-01,6.691447872512030770e-01
